"","","","",""
"Aftermath of a Dream Realized","public://Aftermath of a Dream Realized.jpeg","3.5 x 2.5","","available"
"Aftermath on the Semoud Desert ...","public://Aftermath on the Semoud Desert 1.jpeg","4.5 x 3.5""","","available"
"Aldice/Family A-22 ...","public://Aldice : Family A-22.jpeg","3 x 3.5""","","available"
"Ambanek Neffradon","public://Ambanek Neffradon.jpeg","4 x 2.5""","","available"
"Apackathus Maximus","public://Apackathus Maximus.jpeg","5 x 4""","","available"
"Appealing","public://Appealing.jpeg","3 x 2""","","available"
"The Art of Artificial Intelligence","public://The Art of Artificial Intelligence.jpeg","2.5 x 2.5""","","available"
"Artifact from Roswell Crash Site, 1947","public://Artifact from Roswell.jpeg","3.3 x 1.6""","","available"
"Bad Moon Rising","public://Bad Moon Rising.jpeg","3.5 x 2.2""","Tint on acid-free paper
","available"
"Bahga Omhasum: Holy Man — Floro/D-6","public://Bahga Omhasum_0.jpg","3 x 3.5""","Tint on salvaged fabric and acid-free paper","available"
"Calixza Illusiva","public://Calixza 1_0.jpeg","2.2 x 2.2""","Colored pencil on acid-free paper","available"
"Captain Gunney Freebird","public://Captain Gunney Freebird.jpeg","3.5 x 3""","","available"
"Captain Howdy of the Dark Legion","public://Captain Howdy.jpeg","5.5 x 3.5""","","available"
"Captain Wholeah Six","public://Captain Wholea Six.jpeg","3 x 3""","","available"
"Captain Zinghar Rinslup ...","public://Captain Zinghar Rinslup.jpeg","5 x 3.5""","","available"
"Cleptar Valdon — Elimination Specialist","public://Cleptar Valdon_1.jpeg","3 x 3""","Pencil on acid-free paper","available"
"Close","public://Close.jpeg","5 x 2.5""","","available"
"Condux Maximus","public://Condux 1_0.jpeg","2.2 x 2.2""","Colored pencil on acid-free paper","available"
"Customs Specialist Sarma","public://Customs_1.jpeg","2.3 x 2.4""","Colored pencil on acid-free paper","available"
"Czecmara #1: View from Within Kafka's Garden","public://Czecmara #1.jpeg","3 x 2.3""","","available"
"Czecmara #2: View from Kafka's Window ... The Day the Germans Came","public://Czecmara #2.jpeg","3.2 x 2.5""","","available"
"D-6 Portal","public://D-6 Portal.jpeg","6 x 4""","","available"
"Day's End #1–4","public://Days End 1-4.jpeg","6.8 x 3.7""","","available"
"Dr. Jarz Mahndowny — Field Surgeon, Floro Wars","public://Dr. jarz_0.jpeg","2.5 x 4""","Colored pencil on acid-free paper","available"
"Dr. Millerman — Fleet","public://Dr. Millerman_0.jpeg","5 x 4.5""","Colored pencil on acid-free paper","available"
"Duke","public://Duke.jpeg","3.2 x 3.2""","","available"
"Dunkirk Artifact","public://Dunkirk Artifact.jpeg","2.5 x 1.5""","","available"
