"title","image_filename","dimensions","description","status"
"Aftermath of a Dream Realized","Aftermath of a Dream Realized.jpeg","3.5 x 2.5","","available"
"Aftermath on the Semoud Desert ...","Aftermath on the Semoud Desert 1.jpeg","4.5 x 3.5""","","available"
"Aldice/Family A-22 ...","Aldice : Family A-22.jpeg","3 x 3.5""","","available"
"Ambanek Neffradon","Ambanek Neffradon.jpeg","4 x 2.5""","","available"
"Apackathus Maximus","Apackathus Maximus.jpeg","5 x 4""","","available"
"Appealing","Appealing.jpeg","3 x 2""","","available"
"The Art of Artificial Intelligence","The Art of Artificial Intelligence.jpeg","2.5 x 2.5""","","available"
"Artifact from Roswell Crash Site, 1947","Artifact from Roswell.jpeg","3.3 x 1.6""","","available"
"Bad Moon Rising","Bad Moon Rising.jpeg","3.5 x 2.2""","Tint on acid-free paper
","available"
"Bahga Omhasum: Holy Man — Floro/D-6","Bahga Omhasum_0.jpg","3 x 3.5""","Tint on salvaged fabric and acid-free paper","available"
"Calixza Illusiva","Calixza 1_0.jpeg","2.2 x 2.2""","Colored pencil on acid-free paper","available"
"Captain Gunney Freebird","Captain Gunney Freebird.jpeg","3.5 x 3""","","available"
"Captain Howdy of the Dark Legion","Captain Howdy.jpeg","5.5 x 3.5""","","available"
"Captain Wholeah Six","Captain Wholea Six.jpeg","3 x 3""","","available"
"Captain Zinghar Rinslup ...","Captain Zinghar Rinslup.jpeg","5 x 3.5""","","available"
"Cleptar Valdon — Elimination Specialist","Cleptar Valdon_1.jpeg","3 x 3""","Pencil on acid-free paper","available"
"Close","Close.jpeg","5 x 2.5""","","available"
"Condux Maximus","Condux 1_0.jpeg","2.2 x 2.2""","Colored pencil on acid-free paper","available"
"Customs Specialist Sarma","Customs_1.jpeg","2.3 x 2.4""","Colored pencil on acid-free paper","available"
"Czecmara #1: View from Within Kafka's Garden","Czecmara #1.jpeg","3 x 2.3""","","available"
"Czecmara #2: View from Kafka's Window ... The Day the Germans Came","Czecmara #2.jpeg","3.2 x 2.5""","","available"
"D-6 Portal","D-6 Portal.jpeg","6 x 4""","","available"
"Day's End #1–4","Days End 1-4.jpeg","6.8 x 3.7""","","available"
"Dr. Jarz Mahndowny — Field Surgeon, Floro Wars","Dr. jarz_0.jpeg","2.5 x 4""","Colored pencil on acid-free paper","available"
"Dr. Millerman — Fleet","Dr. Millerman_0.jpeg","5 x 4.5""","Colored pencil on acid-free paper","available"
